Boleracea_gene,NCBI_gene
Bo5g134960,106292566
Bo5g086620,106292567
Bo5g065600,106292568
Bo1g128510,106292569
Bo5g136620,106292570
Bo5g022080,106292571
Bo5g137020,106292572
Bo5g052010,106292573
Bo5g049240,106292574
Bo5g017820,106292575
Bo5g017800,106292576
Bo5g010630,106292577
Bo5g020930,106292579
Bo5g027390,106292580
Bo5g021670,106292581
Bo1g098520,106292582
Bo5g097020,106292583
Bo5g107420,106292584
Bo1g017380,106292585
Bo5g141650,106292586
Bo5g145390,106292587
Bo5g150090,106292588
Bo5g014930,106292590
Bo5g004040,106292591
Bo5g004400,106292592
Bo5g101130,106292593
Bo5g029060,106292594
Bo1g059300,106292595
Bo5g012110,106292597
Bo5g039210,106292598
Bo5g034350,106292599
Bo5g034970,106292600
Bo5g005380,106292601
Bo5g016980,106292602
Bo5g121450,106292603
Bo1g020370,106292604
Bo5g004880,106292605
Bo5g111230,106292606
Bo5g029110,106292607
Bo5g049290,106292608
Bo5g093450,106292609
Bo5g008210,106292610
Bo5g132170,106292611
Bo5g094610,106292612
Bo5g025620,106292613
Bo5g150250,106292614
Bo5g011990,106292616
Bo5g038870,106292617
Bo5g007790,106292618
Bo5g137000,106292619
Bo5g136680,106292620
Bo5g144850,106292621
Bo5g145500,106292622
Bo1g011020,106292623
Bo5g003360,106292624
Bo5g132640,106292625
Bo5g077530,106292626
Bo5g132600,106292627
Bo5g127030,106292628
Bo5g098200,106292630
Bo5g143160,106292631
Bo5g098680,106292633
Bo5g001020,106292634
Bo5g113720,106292635
Bo5g023560,106292636
Bo5g143470,106292637
Bo5g133040,106292638
Bo5g020020,106292639
Bo5g016790,106292640
Bo5g051800,106292641
Bo5g008260,106292642
Bo5g133490,106292643
Bo1g144460,106292644
Bo5g039390,106292645
Bo5g137330,106292646
Bo5g019400,106292647
Bo5g003790,106292648
Bo5g019720,106292649
Bo5g034870,106292650
Bo5g007140,106292651
Bo5g146560,106292652
Bo1g008710,106292653
Bo5g127610,106292654
Bo5g051890,106292655
Bo5g039950,106292656
Bo5g123090,106292657
Bo5g056010,106292658
Bo5g023860,106292659
Bo5g144820,106292661
Bo5g148320,106292662
Bo5g005030,106292663
Bo5g023980,106292664
Bo5g094560,106292665
Bo1g020010,106292666
Bo5g010570,106292667
Bo5g016770,106292668
Bo5g151520,106292669
Bo5g110070,106292670
Bo5g146770,106292672
Bo1g139560,106292673
Bo5g027680,106292674
Bo5g138070,106292675
Bo1g074680,106292676
Bo5g008840,106292677
Bo9g176530,106292678
Bo5g133500,106292681
Bo5g021590,106292682
Bo5g143370,106292685
Bo5g133470,106292687
Bo8g104500,106292688
Bo5g137240,106292689
Bo5g141500,106292690
Bo5g098700,106292691
Bo5g016510,106292692
Bo5g020770,106292693
Bo5g021390,106292696
Bo5g091720,106292697
Bo5g022140,106292698
Bo5g020580,106292699
Bo5g025320,106292700
Bo5g124850,106292701
Bo5g052040,106292703
Bo5g009900,106292704
Bo5g098470,106292705
Bo5g138240,106292706
Bo5g003520,106292707
Bo5g020810,106292708
Bo5g085170,106292709
Bo5g136730,106292710
Bo5g122540,106292712
Bo5g123530,106292714
Bo5g078800,106292715
Bo5g136640,106292717
Bo5g072530,106292719
Bo5g098750,106292720
Bo5g007930,106292721
Bo5g042770,106292722
Bo5g057070,106292724
Bo5g139970,106292725
Bo5g098690,106292726
Bo5g017970,106292727
Bo5g013460,106292729
Bo5g039370,106292730
Bo5g008620,106292731
Bo5g032020,106292732
Bo5g057030,106292733
Bo5g043370,106292734
Bo5g068200,106292735
Bo5g062720,106292736
Bo1g006760,106292738
Bo5g014990,106292739
Bo5g003480,106292740
Bo5g012210,106292741
Bo5g146680,106292742
Bo5g020800,106292743
Bo1g105880,106292745
Bo5g021140,106292746
Bo5g020490,106292747
Bo5g144800,106292748
Bo5g137150,106292750
Bo5g148140,106292751
Bo5g093070,106292752
Bo5g123680,106292753
Bo1g157530,106292756
Bo5g155060,106292758
Bo5g094570,106292759
Bo5g139940,106292760
Bo5g019230,106292763
Bo5g008240,106292764
Bo5g016900,106292766
Bo5g132390,106292767
Bo5g002530,106292768
Bo5g155290,106292769
Bo5g005370,106292770
Bo5g063100,106292773
Bo5g075200,106292775
Bo5g023680,106292777
Bo5g130380,106292778
Bo5g023580,106292779
Bo5g126680,106292780
Bo1g147200,106292781
Bo5g034570,106292783
Bo02454s010,106292787
Bo5g141470,106292788
Bo5g141460,106292789
Bo5g099940,106292790
Bo5g035110,106292792
Bo5g005280,106292794
Bo5g003890,106292795
Bo5g020540,106292796
Bo5g143480,106292797
Bo5g007320,106292798
Bo1g010380,106292799
Bo5g020760,106292800
Bo5g137030,106292801
Bo5g137710,106292802
Bo5g116830,106292803
Bo2g025530,106292804
Bo5g020750,106292805
Bo5g153870,106292806
Bo5g001030,106292810
Bo5g007390,106292812
Bo5g015050,106292814
Bo5g090610,106292815
Bo5g088310,106292816
Bo5g098830,106292817
Bo5g049440,106292818
Bo5g007340,106292819
Bo5g022170,106292820
Bo5g101050,106292821
Bo5g025440,106292822
Bo5g027170,106292823
Bo5g132410,106292827
Bo5g127270,106292828
Bo5g145350,106292829
Bo5g017350,106292830
Bo5g019740,106292831
Bo5g145050,106292833
Bo5g003310,106292834
Bo1g063760,106292835
Bo5g003300,106292836
Bo5g137650,106292837
Bo5g030580,106292839
Bo5g090600,106292841
Bo5g131830,106292842
Bo1g052850,106292843
Bo5g139240,106292844
Bo5g004680,106292845
Bo5g029140,106292846
Bo5g023750,106292847
Bo5g009350,106292848
Bo5g004110,106292849
Bo5g049120,106292850
Bo5g139440,106292852
Bo5g057230,106292853
Bo5g128910,106292854
Bo5g143320,106292855
Bo5g120100,106292856
Bo5g008190,106292857
Bo5g004720,106292858
Bo5g035040,106292860
Bo1g014470,106292861
Bo5g145300,106292862
Bo5g025050,106292863
Bo5g143580,106292864
Bo5g070810,106292866
Bo5g087000,106292867
Bo5g107390,106292868
Bo5g010530,106292869
Bo1g005450,106292870
Bo5g145360,106292871
Bo5g133420,106292872
Bo5g139630,106292873
Bo5g030430,106292875
Bo5g120050,106292876
Bo5g145260,106292878
Bo5g146960,106292881
Bo5g004480,106292882
Bo5g076300,106292884
Bo5g030420,106292885
Bo5g086960,106292886
Bo5g108620,106292887
Bo7g117790,106292888
Bo5g127470,106292889
Bo5g048530,106292890
Bo5g061130,106292891
Bo1g055240,106292892
Bo5g133430,106292894
Bo5g105100,106292895
