gene	cabbage1	cabbage2	kale1	kale2	kale3	TO10001	TO10002	TO10003
Bo00285s450	Bo00285s450	0	0	1	0	1	1	3	3
Bo00285s460	Bo00285s460	0	0	285	163	119	292	353	387
Bo00285s470	Bo00285s470	0	0	11	4	2	12	3	11
Bo00285s480	Bo00285s480	0	0	0	0	0	0	3	0
Bo00285s490	Bo00285s490	0	0	27	8	14	29	12	24
Bo00285s510	Bo00285s510	212	460	375	238	148	489	562	536
Bo00285s520	Bo00285s520	0	0	0	0	2	1	0	1
Bo00285s540	Bo00285s540	6	14	3	8	5	12	22	8
Bo00285s550	Bo00285s550	62	234	325	206	159	283	266	296
Bo00285s560	Bo00285s560	0	2	4	3	5	23	16	26
Bo00285s570	Bo00285s570	24	40	40	41	31	74	60	55
Bo00285s580	Bo00285s580	0	0	0	0	4	3	4	0
Bo00285s590	Bo00285s590	0	0	1	0	2	0	0	0
Bo00285s600	Bo00285s600	0	0	0	0	1	2	9	7
Bo00285s620	Bo00285s620	11	25	10	20	11	17	25	23
Bo00285s630	Bo00285s630	21	70	78	76	59	108	148	131
Bo00285s640	Bo00285s640	74	215	191	136	79	158	172	153
Bo00285s650	Bo00285s650	84	211	154	86	70	258	352	298
Bo00285s660	Bo00285s660	0	0	0	0	0	1	3	1
Bo00418s010	Bo00418s010	20	58	0	1	4	7	8	7
Bo00418s020	Bo00418s020	3	6	363	163	143	286	347	272
Bo00418s030	Bo00418s030	17	54	220	47	84	113	124	123
Bo00418s040	Bo00418s040	0	0	0	1	3	1	6	2
Bo00418s050	Bo00418s050	0	0	0	0	0	0	1	1
Bo00418s060	Bo00418s060	1	0	0	0	0	3	2	3
Bo00418s080	Bo00418s080	0	0	0	1	1	1	2	1
Bo00418s090	Bo00418s090	0	0	0	0	5	27	18	12
Bo00418s100	Bo00418s100	0	0	0	0	1	26	26	18
Bo00418s110	Bo00418s110	0	0	2	3	1	2	2	2
Bo00418s120	Bo00418s120	0	0	3	2	4	20	41	29
Bo00418s130	Bo00418s130	4	1	0	0	0	2	5	4
Bo00418s150	Bo00418s150	0	0	23	14	11	37	36	35
Bo00418s160	Bo00418s160	0	0	0	0	0	1	3	1
Bo00418s170	Bo00418s170	0	0	0	0	0	0	0	2
Bo00418s200	Bo00418s200	0	0	0	0	1	1	1	0
Bo00434s030	Bo00434s030	0	0	0	0	2	1	8	4
Bo00434s040	Bo00434s040	0	0	0	0	0	1	2	3
Bo00434s050	Bo00434s050	0	0	0	0	0	0	4	3
Bo00434s060	Bo00434s060	0	0	0	0	1	2	6	6
Bo00434s080	Bo00434s080	0	0	0	0	6	1	6	8
Bo00434s100	Bo00434s100	0	0	0	0	0	0	1	2
Bo00434s110	Bo00434s110	1	0	0	0	5	11	31	29
Bo00434s130	Bo00434s130	142	342	400	183	122	126	282	237
Bo00452s010	Bo00452s010	1	0	0	0	0	0	2	0
Bo00452s030	Bo00452s030	1	0	0	0	1	2	0	1
Bo00452s060	Bo00452s060	0	0	0	0	0	0	1	1
Bo00452s070	Bo00452s070	17	39	39	46	35	19	27	35
Bo00452s090	Bo00452s090	0	0	0	0	1	1	8	6
Bo00452s110	Bo00452s110	0	0	0	0	1	0	1	0
Bo00452s130	Bo00452s130	4	7	28	15	10	54	37	30
Bo00452s140	Bo00452s140	0	1	22	10	9	29	30	42
Bo00452s150	Bo00452s150	24	47	61	66	56	69	101	64
Bo00452s160	Bo00452s160	3	9	0	1	1	0	0	1
Bo00452s170	Bo00452s170	2	0	0	0	0	3	15	11
Bo00452s180	Bo00452s180	0	0	0	1	0	1	2	1
Bo00452s200	Bo00452s200	0	0	0	0	1	1	0	1
Bo00534s010	Bo00534s010	2	6	0	0	0	13	17	11
Bo00534s030	Bo00534s030	0	0	0	0	0	1	5	2
Bo00534s040	Bo00534s040	2	0	0	0	0	3	3	5
Bo00534s050	Bo00534s050	0	2	0	0	0	2	2	1
Bo00534s060	Bo00534s060	24	69	0	2	0	68	94	93
Bo00534s070	Bo00534s070	65	239	147	97	71	180	193	135
Bo00534s080	Bo00534s080	0	0	3	1	0	0	0	0
Bo00534s090	Bo00534s090	62	116	58	31	24	89	115	83
Bo00534s100	Bo00534s100	10	32	19	17	2	16	15	14
Bo00534s110	Bo00534s110	0	3	7	4	3	2	19	18
Bo00534s120	Bo00534s120	0	0	0	0	0	0	1	3
Bo00534s130	Bo00534s130	0	6	0	0	0	4	6	3
Bo00534s140	Bo00534s140	6	7	0	0	0	6	11	6
Bo00534s150	Bo00534s150	36	96	76	68	54	117	106	123
Bo00534s160	Bo00534s160	20	71	32	26	18	48	57	59
Bo00534s170	Bo00534s170	46	108	34	22	11	96	101	97
Bo00534s180	Bo00534s180	209	467	289	199	124	314	377	276
Bo00534s200	Bo00534s200	7	37	59	46	39	50	34	22
Bo00534s210	Bo00534s210	89	237	168	104	60	252	299	295
Bo00534s230	Bo00534s230	0	0	0	0	2	2	2	1
Bo00576s010	Bo00576s010	0	0	4	0	0	0	0	1
Bo00576s020	Bo00576s020	0	1	0	0	2	1	6	6
Bo00576s030	Bo00576s030	0	0	0	0	0	2	3	5
Bo00576s040	Bo00576s040	5	7	3	3	1	0	1	0
Bo00576s060	Bo00576s060	25	76	65	20	25	77	54	64
Bo00576s070	Bo00576s070	1	3	0	0	3	1	2	5
Bo00576s080	Bo00576s080	1	0	4	4	1	0	1	1
Bo00576s100	Bo00576s100	27	98	88	74	44	78	116	115
Bo00576s110	Bo00576s110	91	246	209	133	102	279	363	274
Bo00576s120	Bo00576s120	19	76	63	60	55	99	92	79
Bo00576s140	Bo00576s140	0	0	0	1	0	2	0	1
Bo00576s150	Bo00576s150	0	0	0	0	4	6	12	7
Bo00576s170	Bo00576s170	0	0	1	0	0	1	2	1
Bo00576s180	Bo00576s180	175	405	521	426	221	411	595	472
Bo00578s010	Bo00578s010	0	0	0	0	0	1	2	2
Bo00578s020	Bo00578s020	16	48	38	26	19	81	69	64
Bo00578s030	Bo00578s030	11	68	49	40	19	45	43	31
Bo00578s040	Bo00578s040	160	580	62	44	33	77	27	19
Bo00578s060	Bo00578s060	5	30	25	8	9	23	23	24
Bo00578s070	Bo00578s070	0	0	1	2	2	0	0	0
Bo00578s100	Bo00578s100	159	339	217	128	74	313	530	460
Bo00578s110	Bo00578s110	83	324	384	186	178	265	322	344
Bo00578s120	Bo00578s120	3	7	4	0	3	1	3	0
Bo00578s130	Bo00578s130	660	1043	1446	802	961	324	406	505
Bo00578s140	Bo00578s140	272	565	704	319	254	320	342	293
Bo00578s150	Bo00578s150	0	4	1	0	1	0	2	2
Bo00578s160	Bo00578s160	0	0	0	0	0	6	7	2
Bo00578s170	Bo00578s170	35	68	210	135	86	1044	1496	1434
Bo00578s180	Bo00578s180	231	655	449	289	208	226	429	360
Bo00578s190	Bo00578s190	35	65	136	83	71	167	124	124
Bo00578s200	Bo00578s200	0	0	0	0	1	2	1	2
Bo00578s220	Bo00578s220	0	0	0	1	0	2	0	0
Bo00578s230	Bo00578s230	0	1	5	8	7	13	24	11
Bo00578s240	Bo00578s240	0	0	0	0	0	0	2	0
Bo00578s260	Bo00578s260	0	1	0	0	0	2	4	12
Bo00578s270	Bo00578s270	2	3	12	5	13	0	4	3
Bo00578s280	Bo00578s280	5	33	21	18	22	18	23	15
Bo00579s010	Bo00579s010	32	39	41	23	32	43	55	50
Bo00579s020	Bo00579s020	40	99	127	90	54	145	138	114
Bo00579s030	Bo00579s030	0	3	12	2	5	5	3	3
Bo00579s040	Bo00579s040	0	0	0	0	0	3	0	2
Bo00579s050	Bo00579s050	4	16	45	16	8	10	11	7
Bo00579s060	Bo00579s060	79	158	202	140	92	395	454	432
Bo00579s070	Bo00579s070	0	0	0	0	0	0	1	2
Bo00579s080	Bo00579s080	33	121	21	13	9	111	160	143
Bo00579s090	Bo00579s090	0	0	0	0	0	3	2	1
Bo00579s100	Bo00579s100	0	0	0	0	1	6	3	0
Bo00579s110	Bo00579s110	2	1	0	0	0	0	0	0
Bo00579s120	Bo00579s120	0	0	4	5	2	0	0	1
Bo00579s130	Bo00579s130	0	0	0	0	0	14	16	22
Bo00579s140	Bo00579s140	0	3	2	0	1	17	20	8
Bo00579s150	Bo00579s150	8	13	12	21	51	48	197	163
Bo00579s180	Bo00579s180	0	0	2	4	3	0	0	1
Bo00579s200	Bo00579s200	0	0	0	0	0	6	7	6
Bo00579s210	Bo00579s210	0	0	1	0	1	3	1	5
Bo00579s220	Bo00579s220	0	0	0	1	1	11	21	19
Bo00579s230	Bo00579s230	1	14	1	0	0	4	2	3
Bo00579s240	Bo00579s240	0	0	0	2	4	1	0	2
Bo00579s260	Bo00579s260	0	4	0	0	1	1	1	2
Bo00579s270	Bo00579s270	7	4	3	0	0	0	2	0
Bo00580s010	Bo00580s010	0	0	0	0	0	0	1	3
Bo00580s020	Bo00580s020	0	0	0	0	1	5	8	12
Bo00580s030	Bo00580s030	0	0	0	0	0	0	6	2
Bo00580s040	Bo00580s040	0	0	0	0	1	0	2	3
Bo00580s050	Bo00580s050	0	0	0	1	4	14	23	20
Bo00580s060	Bo00580s060	0	0	0	0	0	1	4	1
Bo00580s070	Bo00580s070	0	0	0	0	0	1	3	0
Bo00580s080	Bo00580s080	0	0	0	0	0	2	11	8
Bo00580s090	Bo00580s090	0	0	0	0	0	0	4	4
Bo00580s100	Bo00580s100	0	0	2	0	0	0	2	0
Bo00581s010	Bo00581s010	151	325	240	172	116	235	357	324
Bo00581s030	Bo00581s030	220	706	670	324	254	286	451	339
Bo00581s060	Bo00581s060	16	32	44	28	12	27	33	22
Bo00581s080	Bo00581s080	0	3	0	0	0	0	1	0
Bo00581s100	Bo00581s100	0	0	0	0	0	0	4	2
Bo00581s110	Bo00581s110	0	0	0	0	1	2	4	5
Bo00581s120	Bo00581s120	66	179	202	141	124	237	166	207
Bo00581s130	Bo00581s130	2	1	3	3	1	16	7	13
Bo00581s150	Bo00581s150	137	346	488	598	397	338	382	403
Bo00613s010	Bo00613s010	39	168	30	16	12	62	77	70
Bo00613s020	Bo00613s020	0	0	0	0	1	2	3	2
Bo00613s030	Bo00613s030	0	2	0	0	0	0	4	6
Bo00613s040	Bo00613s040	0	0	0	1	1	2	0	0
Bo00613s050	Bo00613s050	4	3	2	0	4	13	18	21
Bo00613s060	Bo00613s060	765	1858	1019	724	435	749	936	814
Bo00613s070	Bo00613s070	0	0	0	0	1	2	1	1
Bo00613s080	Bo00613s080	6	4	30	16	9	20	39	42
Bo00613s090	Bo00613s090	7	13	15	12	24	78	114	137
Bo00613s110	Bo00613s110	19	23	77	49	52	49	93	75
Bo00613s120	Bo00613s120	30	71	3	2	4	221	361	375
Bo00613s130	Bo00613s130	1	0	0	0	3	2	6	14
Bo00613s140	Bo00613s140	0	0	3	0	4	0	1	3
Bo00613s150	Bo00613s150	0	0	0	0	1	0	1	0
Bo00613s160	Bo00613s160	0	0	0	3	1	5	64	95
Bo00613s170	Bo00613s170	2	6	1	1	3	92	226	175
Bo00613s180	Bo00613s180	0	0	60	39	27	0	2	1
Bo00613s190	Bo00613s190	0	0	115	99	46	0	0	0
Bo00613s200	Bo00613s200	0	5	3	5	6	1	12	12
Bo00613s210	Bo00613s210	0	0	0	0	1	6	3	9
Bo00615s010	Bo00615s010	86	331	269	187	112	203	262	204
Bo00615s020	Bo00615s020	1	0	0	0	0	0	3	2
Bo00615s030	Bo00615s030	28	57	30	24	11	41	60	59
Bo00615s040	Bo00615s040	9	30	11	7	7	20	43	16
Bo00615s050	Bo00615s050	53	132	48	23	20	40	65	58
Bo00615s060	Bo00615s060	1	1	1	1	1	0	3	6
Bo00615s080	Bo00615s080	0	2	0	0	0	0	0	0
Bo00615s100	Bo00615s100	0	0	0	0	0	1	1	0
Bo00615s120	Bo00615s120	66	205	290	153	115	167	186	180
Bo00615s130	Bo00615s130	5	19	6	3	1	9	14	10
Bo00615s140	Bo00615s140	13	46	53	32	38	70	66	53
Bo00615s150	Bo00615s150	489	1153	584	343	261	902	1186	1014
Bo00615s160	Bo00615s160	4	11	6	1	5	3	1	3
Bo00615s170	Bo00615s170	6	1	123	63	32	981	1230	1043
Bo00615s190	Bo00615s190	1	0	2	2	0	0	1	0
Bo00615s200	Bo00615s200	1	5	1	2	2	10	10	6
Bo00615s210	Bo00615s210	15	28	18	18	7	43	51	40
Bo00615s220	Bo00615s220	3	4	3	1	1	18	46	38
Bo00615s240	Bo00615s240	0	0	0	0	1	0	0	1
Bo00615s250	Bo00615s250	1	6	3	3	0	2	4	1
Bo00615s270	Bo00615s270	0	0	1	1	4	1	1	0
Bo00616s010	Bo00616s010	8	5	82	39	82	91	287	201
Bo00616s020	Bo00616s020	1	2	12	8	0	2	7	10
Bo00616s030	Bo00616s030	181	111	531	152	245	389	1281	1253
Bo00616s040	Bo00616s040	0	1	0	0	2	0	0	0
Bo00616s050	Bo00616s050	0	0	1	2	3	4	0	8
Bo00616s060	Bo00616s060	3	11	10	4	5	21	74	140
Bo00616s080	Bo00616s080	1	2	23	5	10	12	18	13
Bo00616s090	Bo00616s090	4	6	17	5	5	13	88	126
Bo00616s100	Bo00616s100	0	0	1	0	0	2	3	8
Bo00616s110	Bo00616s110	0	0	1	0	1	0	6	12
Bo00616s120	Bo00616s120	0	1	5	2	2	4	5	6
Bo00616s130	Bo00616s130	0	0	0	0	0	2	6	11
Bo00616s140	Bo00616s140	2	1	1	1	4	32	95	116
Bo00616s150	Bo00616s150	2	1	2	1	1	0	1	0
Bo00616s160	Bo00616s160	6	7	135	52	72	30	66	70
Bo00616s170	Bo00616s170	0	0	0	0	0	2	2	5
Bo00616s180	Bo00616s180	38	108	73	87	43	112	134	108
Bo00626s010	Bo00626s010	0	0	0	0	0	1	1	0
Bo00626s030	Bo00626s030	0	0	0	0	1	0	1	0
Bo00626s040	Bo00626s040	0	0	4	1	1	7	8	2
Bo00626s050	Bo00626s050	2	1	128	74	68	104	80	76
Bo00626s060	Bo00626s060	32	115	190	148	94	183	213	216
Bo00629s010	Bo00629s010	0	0	0	0	0	2	4	3
Bo00629s020	Bo00629s020	28	32	59	41	50	156	225	271
Bo00629s060	Bo00629s060	0	3	0	0	0	2	1	3
Bo00629s080	Bo00629s080	0	0	1	1	0	2	0	5
Bo00629s090	Bo00629s090	0	0	0	0	0	1	2	1
Bo00629s100	Bo00629s100	0	0	2	0	2	0	1	0
Bo00629s110	Bo00629s110	8	27	15	9	6	21	31	34
Bo00629s120	Bo00629s120	1	6	1	0	2	2	6	6
Bo00629s130	Bo00629s130	0	0	0	0	2	0	1	0
Bo00629s140	Bo00629s140	81	192	191	140	67	190	299	272
Bo00629s150	Bo00629s150	0	0	0	0	0	0	4	2
Bo00629s160	Bo00629s160	14	51	69	35	42	116	104	112
Bo00629s170	Bo00629s170	25	69	13	28	19	76	61	48
Bo00629s180	Bo00629s180	3	2	51	46	45	107	174	137
Bo00629s190	Bo00629s190	70	200	259	172	116	117	189	130
Bo00629s200	Bo00629s200	33	61	46	39	15	53	97	70
Bo00629s210	Bo00629s210	0	1	0	0	0	1	1	1
Bo00629s220	Bo00629s220	11	41	136	76	49	134	111	112
Bo00629s230	Bo00629s230	16	42	40	27	18	97	66	52
Bo00629s240	Bo00629s240	7	14	0	0	0	12	17	13
Bo00640s010	Bo00640s010	0	1	0	0	0	3	1	6
Bo00640s020	Bo00640s020	0	0	0	1	0	3	1	0
Bo00640s040	Bo00640s040	0	0	0	2	2	1	1	4
Bo00640s050	Bo00640s050	1	0	0	1	0	0	14	3
Bo00640s060	Bo00640s060	0	0	0	0	0	0	2	3
Bo00640s070	Bo00640s070	0	0	0	2	4	16	37	32
Bo00640s090	Bo00640s090	0	0	0	0	1	0	0	1
Bo00640s100	Bo00640s100	0	0	0	0	0	0	1	2
Bo00641s010	Bo00641s010	57	154	145	83	60	185	205	187
Bo00641s030	Bo00641s030	0	0	0	0	0	0	0	2
Bo00641s040	Bo00641s040	3	13	0	1	0	3	1	0
Bo00641s050	Bo00641s050	0	0	4	5	2	1	3	2
Bo00641s070	Bo00641s070	0	0	0	0	0	0	2	0
Bo00641s080	Bo00641s080	2	7	3	1	0	4	6	5
Bo00641s100	Bo00641s100	1	0	1	0	3	1	0	1
Bo00641s110	Bo00641s110	6	9	14	5	10	23	15	10
Bo00641s120	Bo00641s120	7	10	11	3	3	6	15	12
Bo00641s130	Bo00641s130	0	0	0	0	4	6	26	15
Bo00641s140	Bo00641s140	0	0	0	0	0	1	4	3
Bo00667s010	Bo00667s010	0	0	0	0	1	0	3	4
Bo00667s020	Bo00667s020	1	3	3	1	3	6	11	14
Bo00667s030	Bo00667s030	0	0	0	0	7	6	13	21
Bo00667s040	Bo00667s040	0	0	0	0	0	0	2	2
Bo00667s060	Bo00667s060	231	744	636	512	351	356	553	496
Bo00667s070	Bo00667s070	42	170	79	51	32	95	112	98
Bo00667s090	Bo00667s090	0	0	0	0	0	4	9	8
Bo00667s100	Bo00667s100	0	0	0	1	1	4	4	5
Bo00667s110	Bo00667s110	10	19	21	8	4	6	9	12
Bo00667s120	Bo00667s120	25	71	52	41	34	114	131	154
Bo00667s130	Bo00667s130	0	0	0	1	3	0	2	1
Bo00667s140	Bo00667s140	73	182	117	61	49	112	158	116
Bo00667s150	Bo00667s150	0	0	0	0	1	0	1	1
Bo00667s160	Bo00667s160	84	281	190	160	106	249	289	287
Bo00667s170	Bo00667s170	1	2	1	0	0	1	3	1
Bo00671s010	Bo00671s010	4	25	13	11	2	25	20	28
Bo00673s010	Bo00673s010	0	0	1	2	6	3	13	5
Bo00673s020	Bo00673s020	6	12	33	4	8	20	22	29
Bo00673s030	Bo00673s030	0	0	0	0	0	0	1	3
Bo00673s040	Bo00673s040	0	0	0	0	1	1	6	10
Bo00673s060	Bo00673s060	0	0	0	0	2	0	1	1
Bo00673s080	Bo00673s080	0	1	0	0	4	7	13	9
Bo00673s090	Bo00673s090	0	0	0	0	0	0	2	2
Bo00673s100	Bo00673s100	0	0	0	0	0	0	1	3
Bo00673s110	Bo00673s110	0	0	0	1	0	0	5	5
Bo00673s120	Bo00673s120	0	0	0	0	0	0	5	4
Bo00673s130	Bo00673s130	0	0	0	0	1	1	5	5
Bo00673s140	Bo00673s140	0	0	0	0	1	1	1	1
Bo00673s150	Bo00673s150	0	0	1	0	0	0	2	2
Bo00673s160	Bo00673s160	0	0	0	0	0	0	0	3
Bo00673s170	Bo00673s170	0	1	0	0	0	1	3	5
Bo00673s180	Bo00673s180	0	0	0	0	2	0	8	6
Bo00673s190	Bo00673s190	4	5	37	12	19	47	75	74
Bo00673s210	Bo00673s210	0	0	0	0	0	2	2	6
Bo00679s010	Bo00679s010	0	3	12	9	11	7	10	22
Bo00679s020	Bo00679s020	0	0	0	0	1	49	45	47
Bo00679s030	Bo00679s030	2	3	8	5	2	11	16	9
Bo00679s040	Bo00679s040	21	41	59	48	45	95	124	97
Bo00679s050	Bo00679s050	0	0	1	0	8	1	19	14
Bo00679s070	Bo00679s070	0	0	4	3	1	2	5	4
Bo00679s090	Bo00679s090	0	0	0	0	0	6	16	11
Bo00679s100	Bo00679s100	0	1	17	3	5	2	13	4
Bo00679s130	Bo00679s130	0	0	0	0	0	0	1	1
Bo00679s140	Bo00679s140	0	0	0	0	0	1	1	1
Bo00679s160	Bo00679s160	0	3	4	2	0	0	0	0
Bo00679s170	Bo00679s170	0	0	0	0	1	0	1	2
Bo00685s010	Bo00685s010	7	52	47	31	28	65	46	41
Bo00685s020	Bo00685s020	21	53	35	11	15	30	35	36
Bo00685s030	Bo00685s030	7	3	9	4	4	8	11	10
Bo00685s060	Bo00685s060	93	250	164	111	88	113	97	105
Bo00685s070	Bo00685s070	4	9	12	6	20	24	48	38
Bo00685s080	Bo00685s080	0	2	4	3	3	6	2	5
Bo00685s090	Bo00685s090	2	5	13	9	14	12	9	13
Bo00685s100	Bo00685s100	7	2	0	0	0	0	1	1
Bo00686s010	Bo00686s010	0	0	0	0	0	1	8	2
Bo00686s020	Bo00686s020	6	6	0	0	0	24	32	33
Bo00686s030	Bo00686s030	0	0	0	0	0	4	13	8
Bo00686s040	Bo00686s040	0	1	0	0	0	1	2	1
Bo00686s070	Bo00686s070	0	0	0	0	0	4	3	0
Bo00686s080	Bo00686s080	21	55	5	5	1	112	109	76
Bo00689s010	Bo00689s010	0	0	0	0	1	4	6	2
Bo00689s020	Bo00689s020	0	1	0	0	0	0	1	0
Bo00689s030	Bo00689s030	1	1	0	0	0	8	3	3
Bo00689s040	Bo00689s040	0	0	0	0	2	1	3	3
Bo00689s050	Bo00689s050	3	1	0	0	0	3	1	0
Bo00689s060	Bo00689s060	0	0	0	1	5	2	8	12
Bo00689s070	Bo00689s070	0	0	0	0	0	10	23	21
Bo00689s080	Bo00689s080	0	0	0	0	0	0	0	4
Bo00689s110	Bo00689s110	0	0	0	0	0	1	1	1
Bo00692s010	Bo00692s010	3	6	5	0	1	2	1	3
Bo00692s020	Bo00692s020	0	0	0	0	0	0	0	2
Bo00692s030	Bo00692s030	0	0	0	1	0	1	0	0
Bo00692s070	Bo00692s070	0	0	0	0	0	0	3	0
Bo00692s080	Bo00692s080	0	0	0	0	0	6	7	9
Bo00692s090	Bo00692s090	0	1	2	0	0	1	2	0
Bo00692s120	Bo00692s120	85	171	49	33	13	131	192	163
Bo00703s010	Bo00703s010	2	0	0	2	12	24	65	41
Bo00703s020	Bo00703s020	6	15	1	0	0	15	10	20
Bo00703s030	Bo00703s030	0	0	0	0	0	1	3	0
Bo00703s080	Bo00703s080	55	215	155	88	107	124	173	138
Bo00703s090	Bo00703s090	0	2	2	0	0	0	1	0
Bo00703s100	Bo00703s100	0	0	0	0	2	0	2	4
Bo00703s110	Bo00703s110	0	0	0	0	4	1	13	15
Bo00703s150	Bo00703s150	0	3	0	0	0	1	2	0
Bo00703s160	Bo00703s160	0	5	0	0	1	0	1	0
Bo00706s020	Bo00706s020	0	0	0	0	2	4	0	2
Bo00706s040	Bo00706s040	153	287	150	61	44	389	349	312
Bo00706s050	Bo00706s050	51	274	128	79	59	172	184	149
Bo00706s060	Bo00706s060	0	0	0	0	0	1	0	2
Bo00706s070	Bo00706s070	0	0	0	1	3	0	6	1
Bo00709s010	Bo00709s010	0	0	0	0	0	1	1	1
Bo00709s020	Bo00709s020	0	0	0	0	0	1	2	6
Bo00709s040	Bo00709s040	0	0	0	0	0	2	1	0
Bo00709s050	Bo00709s050	0	0	0	0	0	4	16	8
Bo00709s060	Bo00709s060	0	0	0	0	0	0	1	2
Bo00709s070	Bo00709s070	0	0	0	0	0	0	1	1
Bo00709s080	Bo00709s080	0	0	0	0	0	0	1	3
Bo00709s090	Bo00709s090	0	0	0	0	0	1	3	5
Bo00709s100	Bo00709s100	0	0	0	0	1	1	3	1
Bo00714s010	Bo00714s010	0	0	0	0	0	0	1	2
Bo00714s060	Bo00714s060	0	0	0	0	0	0	0	3
Bo00722s010	Bo00722s010	0	5	1	7	1	7	1	2
Bo00722s020	Bo00722s020	59	135	166	107	68	167	155	155
Bo00722s030	Bo00722s030	5	19	40	23	15	0	1	0
Bo00722s040	Bo00722s040	42	111	149	76	39	8	7	5
Bo00722s050	Bo00722s050	0	2	4	1	3	2	1	0
Bo00722s060	Bo00722s060	4403	27854	14869	11739	6836	577	4864	5686
Bo00722s070	Bo00722s070	25	114	3	1	4	25	60	55
Bo00722s080	Bo00722s080	13	20	63	21	26	9	44	22
Bo00722s090	Bo00722s090	28	74	133	73	43	116	126	127
Bo00722s100	Bo00722s100	202	1089	585	369	177	2	2	3
Bo00722s110	Bo00722s110	2553	15543	950	642	379	4599	13907	11386
Bo00722s120	Bo00722s120	4661	20001	4312	3906	1339	3981	12354	9674
Bo00722s130	Bo00722s130	187	462	112	101	66	157	673	510
Bo00722s140	Bo00722s140	446	1112	160	124	61	276	1455	1165
Bo00722s150	Bo00722s150	12	29	41	44	19	10	17	11
Bo00722s170	Bo00722s170	0	0	0	0	0	0	0	4
Bo00737s020	Bo00737s020	0	0	0	0	0	0	3	0
Bo00737s030	Bo00737s030	0	0	3	0	0	6	3	6
Bo00737s050	Bo00737s050	0	0	0	0	0	0	2	4
Bo00737s060	Bo00737s060	0	0	0	0	0	0	0	2
Bo00737s070	Bo00737s070	0	0	1	0	0	0	2	1
Bo00746s010	Bo00746s010	3	7	7	11	8	7	8	4
Bo00746s020	Bo00746s020	0	0	0	1	2	0	10	10
Bo00746s030	Bo00746s030	2	0	0	1	0	1	16	12
Bo00746s040	Bo00746s040	1	0	0	0	0	0	2	1
Bo00746s050	Bo00746s050	2	4	1	0	0	0	2	2
Bo00746s060	Bo00746s060	0	0	0	0	0	1	3	4
Bo00746s070	Bo00746s070	0	0	0	0	0	1	2	1
Bo00746s080	Bo00746s080	8	13	0	0	3	0	0	1
Bo00746s090	Bo00746s090	5	5	0	0	0	0	4	2
Bo00751s010	Bo00751s010	0	0	0	0	0	0	1	5
Bo00751s020	Bo00751s020	0	0	2	0	0	3	4	1
Bo00751s030	Bo00751s030	0	0	0	4	0	0	0	0
Bo00751s040	Bo00751s040	0	0	0	0	4	1	5	4
Bo00751s050	Bo00751s050	19	71	116	84	66	99	79	56
Bo00751s060	Bo00751s060	74	211	14	13	5	186	196	199
Bo00751s070	Bo00751s070	34	78	37	33	14	65	75	76
Bo00751s080	Bo00751s080	1	0	3	1	3	0	0	0
Bo00751s090	Bo00751s090	1	7	7	7	6	1	9	3
