Supplementary Table 2: Kale vs TO1000 DEGs,,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,TO1000_1,TO1000_2,TO1000_3,Kale_Mean,TO1000_Mean,KvT_log2FC,KvT_padj
Bo1g016760,3.738708951,4.825314055,1.278525003,20.00364726,12.71718719,9.705380838,14.14207176,3.280849337,-2.045783039,0.019285385
Bo1g016770,0,0,0,11.30640932,15.70946653,21.83710688,16.28432758,0,-6.507843621,6.61E-05
Bo1g016800,471.0773278,289.5188433,357.987001,151.3319401,197.4904363,175.5056368,174.7760044,372.8610574,1.094655395,7.32E-06
Bo1g016810,0,0,1.278525003,100.8879601,89.76838016,97.05380838,95.90338288,0.426175001,-8.102694351,1.52E-09
Bo1g016830,101.6928835,104.2267836,85.66117523,18.26419967,20.19788553,31.54248772,23.33485764,97.1936141,2.06125659,1.25E-09
Bo1g016840,54.58515069,38.60251244,28.12755008,16.52475208,3.740349173,12.13172605,10.79894244,40.4384044,1.935395332,0.000709981
Bo1g016870,153.287067,163.0956151,138.0807004,490.5242198,458.5668086,506.297367,485.1294651,151.4877941,-1.675699229,4.64E-17
Bo1g016890,219.8360863,140.8991704,187.9431755,384.4179169,458.5668086,575.8525964,472.945774,182.8928107,-1.368326677,2.24E-08
Bo1g016930,0,0,0,95.66961733,62.83786611,59.8498485,72.78577731,0,-8.665552133,1.90E-10
Bo1g016970,31.40515519,48.25314055,26.84902507,81.75403663,93.50872933,81.68695538,85.64990711,35.50244027,-1.264147616,0.000529896
Bo1g016980,139.079973,245.125954,208.3995756,380.9390217,384.507895,426.2279751,397.224964,197.5351675,-1.013307698,8.34E-05
Bo1g017060,40.37805667,30.88200995,25.57050007,116.5429884,105.4778467,94.62746317,105.5494327,32.27685556,-1.684411758,1.50E-07
Bo1g017120,387.3302473,626.3257644,419.3562011,204.3850916,234.8939281,246.6784296,228.6524831,477.6707376,1.062240508,1.66E-05
Bo1g017150,5344.858316,5186.247546,5968.154716,2360.430377,2814.986788,2789.488209,2654.968458,5499.753526,1.05044113,1.85E-08
Bo1g017280,13.45935222,18.33619341,14.06377504,5.218342764,3.740349173,4.043908682,4.334200206,15.28644022,1.82356107,0.039994128
