Supplementary Table 4: Cabbage vs TO1000 DEGs,,,,,,,,,
Gene,Cabbage_1,Cabbage_2,TO1000_1,TO1000_2,TO1000_3,Cabbage_Mean,TO1000_Mean,CvT_log2FC,CvT_padj
Bo1g016240,3.937474665,8.978338029,0,0,0,6.457906347,4.631693866,5.490974831,0.00722176
Bo1g016770,1.968737333,0,11.30640932,15.70946653,21.83710688,0.984368666,0,-4.596548712,0.018154757
Bo1g016810,33.46853465,17.95667606,100.8879601,89.76838016,97.05380838,25.71260536,0.426175001,-1.973457097,7.89E-05
Bo1g016830,112.218028,158.9165831,18.26419967,20.19788553,31.54248772,135.5673055,97.1936141,2.554223245,3.91E-12
Bo1g016840,43.31222132,40.40252113,16.52475208,3.740349173,12.13172605,41.85737122,40.4384044,1.967117868,0.002474868
Bo1g016860,685.1205917,470.4649127,1499.403821,1039.069,1146.043721,577.7927522,1128.30181,-1.097085222,3.84E-06
Bo1g016870,3.937474665,0,490.5242198,458.5668086,506.297367,1.968737333,151.4877941,-8.60409515,8.90E-15
Bo1g016920,318.9354479,319.6288338,586.1938371,846.8150528,762.6811775,319.2821409,371.6408873,-1.197163531,2.23E-05
Bo1g016930,1.968737333,0,95.66961733,62.83786611,59.8498485,0.984368666,0,-6.804861363,1.51E-05
Bo1g016980,175.2176226,121.2075634,380.9390217,384.507895,426.2279751,148.212593,197.5351675,-1.445299514,7.03E-07
Bo1g017110,0,0,4.34861897,11.96911735,10.51416257,0,1.278525003,-5.195738973,0.02885933
Bo1g017260,19.68737333,26.93501409,81.75403663,59.09751694,55.80593982,23.31119371,50.94838201,-1.449334018,0.004108001
Bo1g017340,25.59358532,46.68735775,91.32099836,112.2104752,88.96599101,36.14047154,86.0166635,-1.362653916,0.000842904
Bo1g017440,23.62484799,13.46750704,45.22563728,38.8996314,54.18837634,18.54617752,25.65903767,-1.380513118,0.034125366
Bo1g017470,131.9054013,119.4118958,0,0.748069835,0,125.6586485,186.5650259,8.75678677,2.81E-11
Bo1g017500,7.87494933,11.67183944,27.83116141,36.6554219,38.82152335,9.773394384,16.21123057,-1.761026836,0.01500675
Bo1g017610,372.0913559,369.009693,917.5586026,769.01579,1100.751943,370.5505244,554.4157535,-1.326302754,3.46E-10
Bo1g017800,527.6216051,632.0749973,119.1521598,129.4160814,115.6557883,579.8483012,97.74628592,2.258711908,4.07E-17
Bo1g017920,33.46853465,31.4241831,65.22928455,86.02803098,81.68695538,32.44635888,38.04243538,-1.268362068,0.005131349
Bo1g017930,23.62484799,26.03718028,207.8639868,148.8658971,162.565129,24.83101414,29.00435245,-2.785438768,1.94E-12
Bo1g018050,84.6557053,52.97219437,200.0364726,177.2925508,206.2393428,68.81394984,127.2816543,-1.548198179,1.53E-06
Bo1g019090,1051.305736,766.7500677,60.88066558,43.38805041,50.9532494,909.0279017,1122.720089,4.134491392,4.79E-69
Bo1g019510,62.99959464,24.24151268,122.6310549,118.1950339,122.1260422,43.62055366,41.39450803,-1.548240573,0.001682232
Bo1g019540,35.43727199,31.4241831,6.957790352,5.984558677,6.470253892,33.43072754,30.42751651,2.362754269,0.000307139
Bo1g019550,5.906211998,18.85450986,0.869723794,0.748069835,0.808781736,12.38036093,4.133199339,3.994073512,0.009891743
Bo1g019560,169.3114106,285.5111493,20.00364726,10.47297768,5.661472155,227.41128,29.13374883,4.260159122,7.64E-19
Bo1g019690,74.81201864,40.40252113,112.1943694,132.4083607,129.4050778,57.60726988,71.71935824,-1.177565176,0.002054749
Bo1g019770,120.0929773,91.5790479,36.52839935,27.67858388,31.54248772,105.8360126,38.74966307,1.718364565,2.99E-05
Bo1g019820,11.812424,6.284836621,53.05315143,120.4392434,107.567971,9.048630308,75.35466713,-3.496963906,3.36E-09
Bo1g019880,175.2176226,141.8577409,80.88431284,55.35716776,58.23228503,158.5376817,79.44662748,1.282726657,0.000127372
Bo1g019890,23.62484799,31.4241831,92.19072216,72.56277396,72.79035628,27.52451555,31.44204372,-1.49241127,0.003905442
Bo1g020200,9.843686663,7.182670423,41.74674211,47.87646942,50.14446766,8.513178543,36.47499472,-2.51373244,7.60E-05
Bo1g020320,13.78116133,8.978338029,48.70453246,47.87646942,49.33568592,11.37974968,82.8813078,-2.179202125,7.60E-05
Bo1g021430,1.968737333,0,14.7853045,7.480698346,18.60197994,0.984368666,47.19383519,-4.380688201,0.010708049
Bo1g021440,255.9358532,263.9631381,86.97237939,98.74521817,99.48015359,259.9494956,176.4675346,1.451514526,6.22E-07
Bo1g021620,70.87454397,79.90720846,208.7337105,129.4160814,157.7124386,75.39087622,67.84277699,-1.120034527,0.001614957
Bo1g021650,0,0,7.827514145,13.46525702,9.705380838,0,0.747862605,-5.403241448,0.013733669
Bo1g021750,1.968737333,0.897833803,18.26419967,48.62453925,40.43908682,1.433285568,3.489944946,-4.826625977,0.000513241
Bo1g021780,23.62484799,13.46750704,63.48983696,47.87646942,46.10055898,18.54617752,32.99327519,-1.578599029,0.005176187
Bo1g022000,190.9675213,96.96605072,33.04950417,40.39577107,53.37959461,143.966786,141.1024745,1.741582128,2.64E-05
Bo1g022110,47.24969598,56.56352958,292.2271948,219.1844615,199.7690889,51.90661278,181.6806931,-2.167705469,3.02E-12
Bo1g022350,61.03085731,61.9505324,133.0677405,122.6834529,133.4489865,61.49069486,41.75853083,-1.075271378,0.004565417
Bo1g022380,84.6557053,99.65955213,0,2.992279339,0,92.15762871,11.75586037,6.441957171,6.46E-12
Bo1g022440,9.843686663,2.693501409,67.83845593,184.0251793,331.600512,6.268594036,6.046874138,-5.065934306,1.51E-05
Bo1g022470,7.87494933,2.693501409,20.00364726,19.4498157,22.64588862,5.28422537,8.202425378,-2.130317114,0.047560078
Bo1g022520,0,0.897833803,6.088066558,9.72490785,21.02832515,0.448916901,6.191634004,-4.282146859,0.029285279
Bo1g022530,120.0929773,65.54186761,226.1281864,172.8041318,173.8880733,92.81742245,240.9551997,-1.084038839,0.002756338
Bo1g022610,0,4.489169015,20.00364726,22.44209504,23.45467036,2.244584507,30.35628431,-2.925779831,0.004830902
Bo1g023870,15.74989866,15.26317465,0,0.748069835,0,15.50653666,6.191392375,5.742906724,0.001055946
Bo1g023970,64.96833198,67.33753522,12.17613312,17.2056062,25.07223383,66.1529336,47.53923251,1.864315845,0.000208724
Bo1g024110,1.968737333,0.897833803,11.30640932,14.21332686,12.13172605,1.433285568,17.73888202,-3.317809813,0.025181312
Bo1g024170,15.74989866,17.05884226,1.739447588,2.992279339,4.852690419,16.40437046,13.42887576,2.359217626,0.016874479
Bo1g024230,57.09338264,88.88554649,46.09536108,30.67086322,31.54248772,72.98946457,34.83487209,1.042508499,0.046801405
Bo1g024240,9.843686663,8.978338029,46.96508487,38.15156157,38.01274161,9.411012346,32.49574718,-2.13648251,0.006596733
Bo1g024370,0,0.897833803,45.22563728,27.67858388,29.11614251,0.448916901,0,-5.740134233,0.000799578
Bo1g024390,7.87494933,14.36534085,40.87701832,36.6554219,48.52690419,11.12014509,25.72314067,-1.834380303,0.006541933
Bo1g024420,33.46853465,26.03718028,100.0182363,94.25679916,91.39233622,29.75285747,69.84510132,-1.71574062,1.63E-05
Bo1g025500,0,0,5.218342764,9.72490785,8.896599101,0,1.069550208,-5.024606242,0.031464831
Bo1g025510,23.62484799,6.284836621,50.44398005,42.63998057,42.86543203,14.95484231,25.69206013,-1.764755288,0.008442576
Bo1g025600,15.74989866,23.34367888,65.22928455,44.13612024,51.76203113,19.54678877,37.84241089,-1.405288313,0.011905281
Bo1g025800,22374.69978,24987.61257,8730.287444,13543.80436,12965.58002,23681.15618,38769.93996,1.011540343,1.48E-06
Bo1g026920,51.18717065,50.27869296,113.933817,112.958545,90.58355448,50.73293181,30.95902461,-1.06240131,0.012607277
