Supplementary Table 4: Kale vs Cabbage DEGs,,,,,,,,,
Gene,Kale_1,Kale_2,Kale_3,Cabbage_1,Cabbage_2,Kale_Mean,Cabbage_Mean,KvC_log2FC,KvC_padj
Bo1g024430,259.4664012,311.715288,264.6546757,114.1867653,140.0620733,221.2942826,127.1244193,1.113401335,1.41E-05
Bo1g025470,58.32385964,57.90376866,71.59740019,0,0,2.136744152,0,7.996497372,2.72E-06
Bo1g025830,223.5747953,207.4885044,125.2954503,383.9037799,394.1490395,226.3611615,389.0264097,-1.06183965,0.002165639
Bo1g025880,72.53095365,75.27489926,77.99002521,281.5294386,271.1458085,301.6221037,276.3376235,-1.877928797,9.51E-15
Bo1g027150,53.8374089,38.60251244,51.14100014,169.3114106,160.7122507,75.63562836,165.0118307,-1.781226919,6.00E-08
Bo1g027180,40.37805667,27.98682152,39.63427511,0,1.795667606,43.15118941,0.897833803,4.894234257,0.000147465
Bo1g028320,0,1.930125622,0,9.843686663,7.182670423,12.82620673,8.513178543,-3.705580868,0.030487475
Bo1g028380,87.48578946,114.8424745,131.6880754,27.56232266,37.70901972,77.42920213,32.63567119,1.72445884,3.90E-05
Bo1g028480,9.720643273,12.54581654,8.949675024,0,0.897833803,27.66951816,0.448916901,4.034616064,0.024776744
Bo1g028490,21.68451192,19.30125622,17.89935005,0,0,29.63777819,0,6.333770349,0.000377506
Bo1g028510,320.781228,338.7370467,478.1683513,1171.398713,762.2608987,707.7841268,966.8298058,-1.349143534,6.04E-08
Bo1g028540,29.90967161,38.60251244,51.14100014,5.906211998,4.489169015,5.574934571,5.197690506,2.978158296,0.000828174
Bo1g030660,5.981934322,7.720502488,7.671150021,0,0,0.249356612,0,4.860678272,0.049267415
Bo1g031790,168.9896446,170.8161176,233.9700756,437.0596878,397.7403747,38.51536748,417.4000313,-1.130246561,2.95E-05
Bo1g031840,7.477417902,6.755439677,12.78525003,0,0.897833803,19.24404207,0.448916901,3.799742448,0.044785498
Bo1g031850,19.44128655,29.91694714,34.52017509,9.843686663,5.387002818,8.479832422,7.61534474,1.953907513,0.027775258
Bo1g031860,14.20709401,23.16150746,19.17787505,7.87494933,0.897833803,12.17350486,4.386391567,2.417314438,0.028580084
Bo1g032000,12.71161043,8.685565299,5.114100014,0,0,0,0,5.188194688,0.030332224
Bo1g032020,18.69354476,33.77719839,25.57050007,0,0,20.5983672,0,6.726762929,0.000151194
Bo1g033110,15.70257759,27.02175871,24.29197507,7.87494933,2.693501409,7.569634026,5.28422537,2.244710901,0.026305655
Bo1g033250,8.972901483,12.54581654,2.557050007,0,0,26.25501816,0,5.072242814,0.00993263
Bo1g034370,8.225159692,2.895188433,11.50672503,0,0,22.03341138,0,4.925099855,0.013564276
Bo1g034460,37.38708951,24.12657028,26.84902507,120.0929773,146.3469099,86.36479836,133.2199436,-2.168793394,2.27E-09
Bo1g034570,915.2359512,1018.141266,1345.008304,515.8091811,356.4400198,1749.965439,436.1246004,1.333985187,1.88E-07
Bo1g034580,11.21612685,24.12657028,296.6178008,11.812424,5.387002818,189.2659962,8.599713407,3.711378881,0.037071665
Bo1g034720,72.53095365,122.562977,86.93970023,17.71863599,5.387002818,0.518950524,11.55281941,3.203496448,2.70E-07
Bo1g035730,196.6560908,247.0560796,138.0807004,21.65611066,21.54801127,0.997426446,21.60206096,3.170652112,6.34E-13
Bo1g035740,6.729676112,14.47594217,5.114100014,0,0,0,0,5.16907814,0.032394357
Bo1g036870,11.96386864,10.61569092,3.83557501,0,0,9.085934278,0,5.199035356,0.010758895
Bo1g036910,145.0619073,173.711306,209.6781006,82.68696797,86.19204508,115.986757,84.43950652,1.050019012,0.001464511
Bo1g036980,0,0,0,5.906211998,3.591335212,2.986077209,4.748773605,-4.697010678,0.0458428
Bo1g037040,56.08063427,41.49770087,23.01345006,13.78116133,5.387002818,2.385947327,9.584082073,2.199852636,0.00923365
